iter	Passed	Remaining
465	758	868
466	759	866
467	760	865
468	762	863
469	763	861
470	765	859
471	766	857
472	769	856
473	771	855
474	772	853
475	774	852
476	775	850
477	777	848
478	778	847
479	780	845
480	781	843
481	783	842
482	785	840
483	787	839
484	788	837
485	790	835
486	791	833
487	793	832
488	794	830
489	795	828
490	797	826
491	798	824
492	800	823
493	802	821
494	803	820
495	805	818
496	806	816
497	808	814
498	809	812
499	811	811
500	812	809
501	814	807
502	815	806
503	817	804
504	819	803
505	821	801
506	822	800
507	824	798
508	825	796
509	827	794
510	828	792
511	829	791
512	831	789
513	833	788
514	835	786
515	836	785
516	838	783
517	839	781
518	841	779
519	842	777
520	843	775
521	845	774
522	846	772
523	848	770
524	850	769
525	851	767
526	853	765
527	854	763
528	855	762
529	857	760
530	859	758
531	860	757
532	862	755
533	864	754
534	866	752
535	867	750
536	868	749
537	870	747
538	871	745
539	873	743
540	874	742
541	875	740
542	877	738
543	879	736
544	881	735
545	882	734
546	884	732
547	886	730
548	887	729
549	889	727
550	890	725
551	891	723
552	893	722
553	894	720
554	896	719
555	898	717
556	899	715
557	901	713
558	902	712
559	904	710
560	905	708
561	907	707
562	908	705
563	909	703
564	911	701
565	913	700
566	915	698
567	916	697
568	918	695
569	919	693
570	921	692
571	923	690
572	924	689
573	926	687
574	928	686
575	929	684
576	931	682
577	933	681
578	934	679
579	936	677
580	937	676
581	939	674
582	940	672
583	942	671
584	943	669
585	945	667
586	946	666
587	948	664
588	949	662
589	951	660
590	952	659
591	954	657
592	955	655
593	956	654
594	959	653
595	961	652
596	963	650
597	965	648
598	966	647
599	968	645
600	969	643
601	971	642
602	973	640
603	975	639
604	977	638
605	979	636
606	980	635
607	982	633
608	983	631
609	985	629
610	986	628
611	988	626
612	989	624
613	991	623
614	992	621
615	994	619
616	995	618
617	997	616
618	998	614
619	1000	613
620	1001	611
621	1003	609
622	1004	607
623	1006	606
624	1008	604
625	1009	603
626	1011	601
627	1012	599
628	1014	598
629	1015	596
630	1017	594
631	1018	593
632	1020	591
633	1021	589
634	1023	588
635	1024	586
636	1026	584
637	1027	583
638	1029	581
639	1030	579
640	1032	578
641	1033	576
642	1035	574
643	1036	573
644	1038	571
645	1040	569
646	1041	568
647	1043	566
648	1044	565
649	1046	563
650	1047	561
651	1049	560
652	1050	558
653	1052	556
654	1053	555
655	1055	553
656	1057	552
657	1059	550
